arquivo;nome;IDC;classificacao;cultivo_estrelas;nota_temperatura;nota_rega;nota_umidade;nota_ventilacao;nota_luminosidade;nota_raizesSubstrato;nota_sazonalidade;nota_floracao
acianthera-aveniformis.js;Acianthera aveniformis;25;Fácil;4;1;1;1;1;2;3;1;1
acianthera-bragae.js;Acianthera bragae;14;Fácil;5;0;1;1;1;2;2;1;0
acianthera-glumacea.js;Acianthera glumacea;14;Fácil;5;0;1;1;1;2;2;1;0
acianthera-pubescens.js;Acianthera pubescens;14;Fácil;5;0;1;1;1;2;2;1;0
aerides-odorata.js;Aerides odorata;17;Fácil;5;0;2;2;0;1;3;3;0
anathallis-sclerophylla.js;Anathallis sclerophylla;9;Fácil;5;0;0;0;0;2;2;1;0
arpophyllum-giganteum.js;Arpophyllum giganteum;13;Fácil;5;0;1;1;1;1;2;3;0
aspasia-lunata.js;Aspasia lunata;26;Fácil;4;1;1;1;1;2;2;3;1
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah);25;Fácil;4;1;2;2;1;1;2;1;1
bifrenaria-aureofulva.js;Bifrenaria aureofulva;22;Fácil;4;1;1;1;1;1;3;1;1
bifrenaria-harrisoniae.js;Bifrenaria harrisoniae;13;Fácil;5;0;2;2;0;0;2;3;0
bifrenaria-verboonenii.js;Bifrenaria verboonenii;16;Fácil;5;0;2;2;1;1;2;2;0
blc-chia-lin.js;Rhyncholaeliocattleya Chia Lin;27;Fácil;4;1;2;2;1;1;2;3;1
brassavola-perrini.js;Brassavola tuberculata;11;Fácil;5;0;2;2;0;0;3;0;0
brassia-lawrenceana.js;Brassia lawrenceana;11;Fácil;5;0;1;1;1;1;2;1;0
bulbophyllum-ambrosia.js;Bulbophyllum ambrosia;26;Fácil;4;1;1;1;1;2;2;3;1
bulbophyllum-elassonotum.js;Bulbophyllum elassonotum;16;Fácil;5;0;1;1;1;2;2;3;0
bulbophyllum-falcatum.js;Bulbophyllum falcatum;16;Fácil;5;0;1;1;1;2;2;3;0
bulbophyllum-miniatum.js;Bulbophyllum saltatorium var. albociliatum;16;Fácil;5;0;1;1;1;2;2;3;0
bulbophyllum-rothschildianum.js;Bulbophyllum rothschildianum;24;Fácil;4;1;1;1;1;2;2;1;1
bulbophyllum-sikkimense.js;Bulbophyllum roxburghii;26;Fácil;4;1;1;1;1;2;2;3;1
bulbophyllum-syciobulbon.js;Bulbophyllum sicyobulbon;16;Fácil;5;0;1;1;1;2;2;3;0
camaridium-carinatum.js;Maxillaria imbricata;26;Fácil;4;1;1;1;1;2;2;3;1
catasetum-mattosianum.js;Catasetum mattosianum;10;Fácil;5;0;2;2;0;0;2;0;0
cattleya-a-brazilian-dream.js;Cattleya A Brazilian Dream;20;Fácil;4;1;2;2;0;0;2;0;1
cattleya-aclandiae-tipo.js;Cattleya aclandiae;11;Fácil;5;0;2;2;0;0;2;1;0
cattleya-chocolate-drop.js;Cattlianthe Chocolate Drop;13;Fácil;5;0;2;2;0;0;2;3;0
cattleya-guttata-var-coerulea.js;Cattleya guttata f. coerulea;9;Fácil;5;0;1;1;0;0;2;3;0
cattleya-intermedia.js;Cattleya intermedia;9;Fácil;5;0;1;1;0;0;2;3;0
